latitude,longitude
41.883221999999996,-87.632496
41.88059904,-87.67399833
41.88761546,-87.62364574
41.916925,-87.67510300000001
41.8669,-87.6465
41.88544236,-87.62805026
41.96809049,-87.75867443
41.88059904,-87.67399833
41.8809,-87.647
41.93287,-87.65504
41.883221999999996,-87.632496
41.91016241,-87.67881513
41.93287,-87.65504
41.92186675,-87.65245276
41.883221999999996,-87.632496
41.883221999999996,-87.632496
41.883221999999996,-87.632496
41.883221999999996,-87.632496
41.883221999999996,-87.632496
41.8781136,-87.62979820000001
41.92497646,-87.69732094
41.93932349,-87.72127663
42.0411414,-87.69005870000001
41.95443,-87.67653
41.9615796,-87.67878863
41.8669,-87.6465
41.91016241,-87.67881513
41.8959115,-87.6206521
41.883221999999996,-87.632496
41.8671,-87.6216
41.96125,-87.72585
41.883221999999996,-87.632496
41.8669,-87.6465
41.8669,-87.6465
41.96638353,-87.63921222
41.8669,-87.6465
41.9238,-87.6985
41.883221999999996,-87.632496
41.8669,-87.6465
41.883221999999996,-87.632496
41.96125,-87.72567
41.96125,-87.72576
41.89555,-87.69360999999999
41.921890000000005,-87.66452
41.88840017,-87.61897076
41.883221999999996,-87.632496
41.89815,-87.63732857
41.962740000000004,-87.72508
41.89313254,-87.62573272
41.97332764,-87.66801333
41.9217,-87.6562
41.962509999999995,-87.72507
41.976222,-87.675538
41.945691100000005,-87.6492505
41.89818843,-87.63244629
41.96930347,-87.65803652
41.891690000000004,-87.60834
41.88553413,-87.62732172
41.883221999999996,-87.632496
41.89344867,-87.62999475
41.9653,-87.7009
42.047289899999996,-87.68156
41.95783439,-87.65229511
42.009063,-87.6616874
41.9217,-87.6562
41.883221999999996,-87.632496
41.96223,-87.72578
41.883221999999996,-87.632496
41.88333333,-87.63333333
41.883221999999996,-87.632496
41.87785329,-87.67549038
41.883221999999996,-87.632496
42.0471,-87.6816
